Name,Average Rating,Users
secretary to the president of the company ++urgently++,8,1
purchasing officer (working in pathum thani) 1 position ++urgent++,7,2
occupational academics +very urgent+,9,3
safety officer,6,4
c#.net programmer,8,5
waiter,7,6
"video creator , graphic design , graphics , video editing",6,7
sales executive  saraburi,7,8
sales executive  chonburi,6,9
asst. director,7,10
"marketing manager (real estate, residential)",6,11
delivery staff,7,12
service head (siam square one branch),7,13
store sales clerk (bon marche market),6,14
onsite m&e electrical engineer,6,15
"programmer, web developer",8,16
sales executive officer,7,17
sale manager (freight forwarder),9,18
salesperson or cashier (attu park bangna km.12 branch),9,19
trade marketing officer (head office),9,20
technical security guard,8,21
recruitment officer,8,22
helper (canteen shop),5,23
"architect, engineer",6,24
project sales,7,25
it business analyst,4,26
sales executive,7,27
graphic (graphic design),7,28
"sales exclusive sell teaching materials (north, south, northeast)",7,29
maid at the boss's house (taling chan),8,30
photographer video editing,6,31
administrative staff (support sale) many positions ++ urgent ++,8,32
"graphic staff, 4 positions ++urgent++",5,33
php web programmer both wfh and office,9,34
sales and marketing,7,35
administrative officer,8,36
machine operator 3 positions,8,37
"provincial sales department krabi, phang nga, phuket, surat thani",7,38
graphic designer,7,39
"senior system analyst, wfh type",7,40
bangkok area sales,6,41
provincial sales representative,4,42
cms operator,9,43
"zone supervisor (patrol, security guard)",8,44
technician (electronic technician),7,45
area coordinator,9,46
receptionist,7,47
security and safety command center officer (citi bank),7,48
admin officer 1 year contract (admin officer),8,49
executive driver,7,50
recruiter recruitment staff,7,51
"salesperson (pc) atsawan nong khai branch, very urgent",6,52
sales staff working 6 days a week (contract until the end of this year),7,53
electrical engineer (designsupervision),9,54
hr officer,7,55
administration supervisor head of the administrative department,7,56
maintenance technician office,6,57
cctv officer,7,58
"site manager, aia agency",7,59
security officers at every bts station,7,60
accounting officer,7,61
fireman supervisor,7,62
marketing officer,7,63
project manager (electrical),8,64
"urgent!!! accountant, income 28,000  35,000 (2month contract) workplace tp&t tower",9,65
